@relation FuncionCuadratica

@attribute distancia numeric
@attribute aceleracion numeric
@attribute giro numeric
@attribute inercia numeric
@attribute angulo numeric
@attribute distanciaAlcanzada numeric

@data
2.190001,0.2,-1,?,?,1.959448
2.190001,0.2,-0.9,?,?,2.091865
2.190001,0.2,-0.8,?,?,2.095637
2.190001,0.2,-0.7,?,?,2.094314
2.190001,0.2,-0.6,?,?,2.09654
2.190001,0.2,-0.5,?,?,2.10319
2.190001,0.2,-0.4,?,?,2.111804
2.190001,0.2,-0.3,?,?,2.129179
2.190001,0.2,-0.2,?,?,2.149133
2.190001,0.2,-0.1,?,?,2.166685
2.190001,0.2,0,?,?,2.191976
2.190001,0.2,0.1,?,?,2.219395
2.190001,0.2,0.2,?,?,2.265377
2.190001,0.2,0.3,?,?,2.291913
2.190001,0.2,0.4,?,?,2.330371
2.190001,0.2,0.5,?,?,2.382379
2.190001,0.2,0.6,?,?,2.4561
2.190001,0.2,0.7,?,?,2.48181
2.190001,0.2,0.8,?,?,2.546164
2.190001,0.2,0.9,?,?,2.691968
2.190001,0.3,-1,?,?,2.08176
2.190001,0.3,-0.9,?,?,2.029132
2.190001,0.3,-0.8,?,?,2.012701
2.190001,0.3,-0.7,?,?,1.992578
2.190001,0.3,-0.6,?,?,2.016691
2.190001,0.3,-0.5,?,?,2.014821
2.190001,0.3,-0.4,?,?,2.032482
2.190001,0.3,-0.3,?,?,2.06612
2.190001,0.3,-0.2,?,?,2.086457
2.190001,0.3,-0.1,?,?,2.137306
2.190001,0.3,0,?,?,2.19299
2.190001,0.3,0.1,?,?,2.256071
2.190001,0.3,0.2,?,?,2.330635
2.190001,0.3,0.3,?,?,2.403201
2.190001,0.3,0.4,?,?,2.504942
2.190001,0.3,0.5,?,?,2.636437
2.190001,0.3,0.6,?,?,2.769032
2.190001,0.3,0.7,?,?,2.921245
2.190001,0.3,0.8,?,?,3.11997
2.190001,0.3,0.9,?,?,3.315126
2.190001,0.4,-1,?,?,2.064125
2.190001,0.4,-0.9,?,?,1.964672
2.190001,0.4,-0.8,?,?,1.860496
2.190001,0.4,-0.7,?,?,1.882722
2.190001,0.4,-0.6,?,?,1.870815
2.190001,0.4,-0.5,?,?,1.891306
2.190001,0.4,-0.4,?,?,1.925277
2.190001,0.4,-0.3,?,?,1.968595
2.190001,0.4,-0.2,?,?,2.014527
2.190001,0.4,-0.1,?,?,2.103551
2.190001,0.4,0,?,?,2.186293
2.190001,0.4,0.1,?,?,2.293963
2.190001,0.4,0.2,?,?,2.430247
2.190001,0.4,0.3,?,?,2.571205
2.190001,0.4,0.4,?,?,2.781612
2.190001,0.4,0.5,?,?,2.964143
2.190001,0.4,0.6,?,?,3.200156
2.190001,0.4,0.7,?,?,3.596367
2.190001,0.4,0.8,?,?,4.080874
2.190001,0.4,0.9,?,?,4.486807
2.190001,0.5,-1,?,?,2.026768
2.190001,0.5,-0.9,?,?,1.807283
2.190001,0.5,-0.8,?,?,1.730516
2.190001,0.5,-0.7,?,?,1.639018
2.190001,0.5,-0.6,?,?,1.70946
2.190001,0.5,-0.5,?,?,1.731619
2.190001,0.5,-0.4,?,?,1.783772
2.190001,0.5,-0.3,?,?,1.851809
2.190001,0.5,-0.2,?,?,1.920249
2.190001,0.5,-0.1,?,?,2.055336
2.190001,0.5,0,?,?,2.187502
2.190001,0.5,0.1,?,?,2.354207
2.190001,0.5,0.2,?,?,2.586056
2.190001,0.5,0.3,?,?,2.791718
2.190001,0.5,0.4,?,?,3.094463
2.190001,0.5,0.5,?,?,3.634287
2.190001,0.5,0.6,?,?,4.075325
2.190001,0.5,0.7,?,?,4.61663
2.190001,0.5,0.8,?,?,5.612309
2.190001,0.5,0.9,?,?,7.318233
2.190001,0.6,-1,?,?,2.035854
2.190001,0.6,-0.9,?,?,1.745223
2.190001,0.6,-0.8,?,?,1.492464
2.190001,0.6,-0.7,?,?,1.447181
2.190001,0.6,-0.6,?,?,1.324919
2.190001,0.6,-0.5,?,?,1.446525
2.190001,0.6,-0.4,?,?,1.628105
2.190001,0.6,-0.3,?,?,1.718698
2.190001,0.6,-0.2,?,?,1.83074
2.190001,0.6,-0.1,?,?,1.991924
2.190001,0.6,0,?,?,2.187352
2.190001,0.6,0.1,?,?,2.414711
2.190001,0.6,0.2,?,?,2.676497
2.190001,0.6,0.3,?,?,3.160769
2.190001,0.6,0.4,?,?,3.462252
2.190001,0.6,0.5,?,?,4.111315
2.190001,0.6,0.6,?,?,5.306908
2.190001,0.6,0.7,?,?,6.716099
2.190001,0.6,0.8,?,?,7.829807
2.190001,0.6,0.9,?,?,0
2.190001,0.7,-1,?,?,2.717249
2.190001,0.7,-0.9,?,?,1.863662
2.190001,0.7,-0.8,?,?,1.123172
2.190001,0.7,-0.7,?,?,1.031696
2.190001,0.7,-0.6,?,?,1.075197
2.190001,0.7,-0.5,?,?,1.253773
2.190001,0.7,-0.4,?,?,1.313345
2.190001,0.7,-0.3,?,?,1.559191
2.190001,0.7,-0.2,?,?,1.695962
2.190001,0.7,-0.1,?,?,1.947402
2.190001,0.7,0,?,?,2.186933
2.190001,0.7,0.1,?,?,2.477636
2.190001,0.7,0.2,?,?,2.852937
2.190001,0.7,0.3,?,?,3.423171
2.190001,0.7,0.4,?,?,4.324999
2.190001,0.7,0.5,?,?,5.38856
2.190001,0.7,0.6,?,?,6.372383
2.190001,0.7,0.7,?,?,9.062751
2.190001,0.7,0.8,?,?,0
2.190001,0.7,0.9,?,?,0
2.190001,0.8,-1,?,?,0
2.190001,0.8,-0.9,?,?,4.035936
2.190001,0.8,-0.8,?,?,1.303549
2.190001,0.8,-0.7,?,?,0.84749
2.190001,0.8,-0.6,?,?,0.556533
2.190001,0.8,-0.5,?,?,0.918122
2.190001,0.8,-0.4,?,?,1.12605
2.190001,0.8,-0.3,?,?,1.328981
2.190001,0.8,-0.2,?,?,1.555329
2.190001,0.8,-0.1,?,?,1.851161
2.190001,0.8,0,?,?,2.165511
2.190001,0.8,0.1,?,?,2.59393
2.190001,0.8,0.2,?,?,3.147377
2.190001,0.8,0.3,?,?,3.757199
2.190001,0.8,0.4,?,?,4.800788
2.190001,0.8,0.5,?,?,6.045576
2.190001,0.8,0.6,?,?,8.508545
2.190001,0.8,0.7,?,?,0
2.190001,0.8,0.8,?,?,0
2.190001,0.8,0.9,?,?,0
2.190001,0.9,-1,?,?,1.123276
2.190001,0.9,-0.9,?,?,0
2.190001,0.9,-0.8,?,?,0.946313
2.190001,0.9,-0.7,?,?,0.767098
2.190001,0.9,-0.6,?,?,0.826505
2.190001,0.9,-0.5,?,?,0.787758
2.190001,0.9,-0.4,?,?,0.748824
2.190001,0.9,-0.3,?,?,1.026054
2.190001,0.9,-0.2,?,?,1.492624
2.190001,0.9,-0.1,?,?,1.786662
2.190001,0.9,0,?,?,2.155674
2.190001,0.9,0.1,?,?,2.618639
2.190001,0.9,0.2,?,?,3.293242
2.190001,0.9,0.3,?,?,4.172947
2.190001,0.9,0.4,?,?,5.167077
2.190001,0.9,0.5,?,?,7.8228
2.190001,0.9,0.6,?,?,0
2.190001,0.9,0.7,?,?,0
2.190001,0.9,0.8,?,?,0
2.190001,0.9,0.9,?,?,0
