@relation FuncionCuadratica

@attribute controlVar0 numeric
@attribute controlVar1 numeric
@attribute varObjetivo numeric

@data
0,-1,-25.930586
0,0,-25.930456
0,1,-25.930382
0.1,-1,-25.859383
0.1,0,-25.931446
0.1,1,-26.008574
0.2,-1,-25.71102
0.2,0,-25.927303
0.2,1,-26.177658
0.3,-1,-25.458408
0.3,0,-25.921715
0.3,1,-26.451807
0.4,-1,-25.206509
0.4,0,-25.889673
0.4,1,-26.752131
0.5,-1,-24.919949
0.5,0,-25.864077
0.5,1,-27.199234
0.6,-1,-24.546202
0.6,0,-25.810507
0.6,1,-27.544964
0.7,-1,-24.128141
0.7,0,-25.760923
0.7,1,-28.045565
0.8,-1,-23.866911
0.8,0,-25.709446
0.8,1,-28.389219
0.9,-1,-23.680544
0.9,0,-25.631704
0.9,1,-28.496292
