@relation FuncionCuadratica

@attribute controlVar0 numeric
@attribute controlVar1 numeric
@attribute controlVar2 numeric
@attribute varObjetivo numeric

@data
0,0,-1,-0.997592
-0.997592,0,-0.9,-0.997568
-0.997568,0,-0.8,-0.997858
-0.997858,0,-0.7,-0.997686
-0.997686,0,-0.6,-0.997665
-0.997665,0,-0.5,-0.997716
-0.997716,0,-0.4,-0.997586
-0.997586,0,-0.3,-0.997669
-0.997669,0,-0.2,-0.997721
-0.997721,0,-0.1,-0.997765
-0.997765,0,0,-0.997622
-0.997622,0,0.1,-0.997702
-0.997702,0,0.2,-0.997585
-0.997585,0,0.3,-0.997658
-0.997658,0,0.4,-0.997584
-0.997584,0,0.5,-0.99786
-0.99786,0,0.6,-0.997676
-0.997676,0,0.7,-0.997634
-0.997634,0,0.8,-0.997601
-0.997601,0,0.9,-0.997601
-0.997601,0.1,-1,-0.996791
-0.996791,0.1,-0.9,-0.993045
-0.993045,0.1,-0.8,-0.996946
-0.996946,0.1,-0.7,-0.997462
-0.997462,0.1,-0.6,-0.997474
-0.997474,0.1,-0.5,-0.997974
-0.997974,0.1,-0.4,-0.997813
-0.997813,0.1,-0.3,-0.997968
-0.997968,0.1,-0.2,-0.998385
-0.998385,0.1,-0.1,-0.998422
-0.998422,0.1,0,-0.998419
-0.998419,0.1,0.1,-0.998334
-0.998334,0.1,0.2,-0.998351
-0.998351,0.1,0.3,-0.998115
-0.998115,0.1,0.4,-0.997908
-0.997908,0.1,0.5,-0.997671
-0.997671,0.1,0.6,-0.99768
-0.99768,0.1,0.7,-0.997659
-0.997659,0.1,0.8,-0.996457
-0.996457,0.1,0.9,-0.99702
-0.99702,0.2,-1,-0.981327
-0.981327,0.2,-0.9,-0.992867
-0.992867,0.2,-0.8,-0.986602
-0.986602,0.2,-0.7,-0.995084
-0.995084,0.2,-0.6,-0.991915
-0.991915,0.2,-0.5,-0.993324
-0.993324,0.2,-0.4,-0.997152
-0.997152,0.2,-0.3,-0.998417
-0.998417,0.2,-0.2,-0.998678
-0.998678,0.2,-0.1,-0.999194
-0.999194,0.2,0,-0.999219
-0.999219,0.2,0.1,-0.999199
-0.999199,0.2,0.2,-0.998352
-0.998352,0.2,0.3,-0.997809
-0.997809,0.2,0.4,-0.998081
-0.998081,0.2,0.5,-0.996783
-0.996783,0.2,0.6,-0.988644
-0.988644,0.2,0.7,-0.986493
-0.986493,0.2,0.8,-0.993688
-0.993688,0.2,0.9,-0.988101
-0.988101,0.3,-1,-0.98758
-0.98758,0.3,-0.9,-0.985114
-0.985114,0.3,-0.8,-0.975628
-0.975628,0.3,-0.7,-0.986071
-0.986071,0.3,-0.6,-0.985406
-0.985406,0.3,-0.5,-0.992709
-0.992709,0.3,-0.4,-0.995931
-0.995931,0.3,-0.3,-0.997211
-0.997211,0.3,-0.2,-0.998888
-0.998888,0.3,-0.1,-0.99923
-0.99923,0.3,0,-0.99973
-0.99973,0.3,0.1,-0.99959
-0.99959,0.3,0.2,-0.998049
-0.998049,0.3,0.3,-0.998296
-0.998296,0.3,0.4,-0.996452
-0.996452,0.3,0.5,-0.99503
-0.99503,0.3,0.6,-0.987591
-0.987591,0.3,0.7,-0.982824
-0.982824,0.3,0.8,-0.986319
-0.986319,0.3,0.9,-0.98238
-0.98238,0.4,-1,-0.911931
-0.911931,0.4,-0.9,-0.9366
-0.9366,0.4,-0.8,-0.970846
-0.970846,0.4,-0.7,-0.968032
-0.968032,0.4,-0.6,-0.977291
-0.977291,0.4,-0.5,-0.989243
-0.989243,0.4,-0.4,-0.992241
-0.992241,0.4,-0.3,-0.996534
-0.996534,0.4,-0.2,-0.998003
-0.998003,0.4,-0.1,-0.999418
-0.999418,0.4,0,-0.999907
-0.999907,0.4,0.1,-0.999478
-0.999478,0.4,0.2,-0.998087
-0.998087,0.4,0.3,-0.996111
-0.996111,0.4,0.4,-0.986933
-0.986933,0.4,0.5,-0.988305
-0.988305,0.4,0.6,-0.980431
-0.980431,0.4,0.7,-0.983
-0.983,0.4,0.8,-0.977756
-0.977756,0.4,0.9,-0.934743
-0.934743,0.5,-1,-0.949174
-0.949174,0.5,-0.9,-0.924288
-0.924288,0.5,-0.8,-0.961683
-0.961683,0.5,-0.7,-0.965798
-0.965798,0.5,-0.6,-0.954994
-0.954994,0.5,-0.5,-0.979151
-0.979151,0.5,-0.4,-0.970941
-0.970941,0.5,-0.3,-0.978576
-0.978576,0.5,-0.2,-0.997898
-0.997898,0.5,-0.1,-0.998733
-0.998733,0.5,0,-0.999948
-0.999948,0.5,0.1,-0.999525
-0.999525,0.5,0.2,-0.995138
-0.995138,0.5,0.3,-0.995797
-0.995797,0.5,0.4,-0.977896
-0.977896,0.5,0.5,-0.973329
-0.973329,0.5,0.6,-0.958155
-0.958155,0.5,0.7,-0.965246
-0.965246,0.5,0.8,-0.909466
-0.909466,0.5,0.9,-0.941825
-0.941825,0.6,-1,-0.833676
-0.833676,0.6,-0.9,-0.927677
-0.927677,0.6,-0.8,-0.839096
-0.839096,0.6,-0.7,-0.952678
-0.952678,0.6,-0.6,-0.928759
-0.928759,0.6,-0.5,-0.976104
-0.976104,0.6,-0.4,-0.964897
-0.964897,0.6,-0.3,-0.989389
-0.989389,0.6,-0.2,-0.995607
-0.995607,0.6,-0.1,-0.998968
-0.998968,0.6,0,-0.999941
-0.999941,0.6,0.1,-0.998288
-0.998288,0.6,0.2,-0.995863
-0.995863,0.6,0.3,-0.967739
-0.967739,0.6,0.4,-0.986231
-0.986231,0.6,0.5,-0.945581
-0.945581,0.6,0.6,-0.925694
-0.925694,0.6,0.7,-0.948671
-0.948671,0.6,0.8,-0.832159
-0.832159,0.6,0.9,-0.937951
-0.937951,0.7,-1,-0.639024
-0.639024,0.7,-0.9,-0.855098
-0.855098,0.7,-0.8,-0.900217
-0.900217,0.7,-0.7,-0.938627
-0.938627,0.7,-0.6,-0.921912
-0.921912,0.7,-0.5,-0.900184
-0.900184,0.7,-0.4,-0.965186
-0.965186,0.7,-0.3,-0.983149
-0.983149,0.7,-0.2,-0.995735
-0.995735,0.7,-0.1,-0.996175
-0.996175,0.7,0,-0.99995
