@relation FuncionCuadratica

@attribute controlVar0 numeric
@attribute controlVar1 numeric
@attribute varObjetivo numeric

@data
-0.997931,-1,-0.405941
-0.997696,-0.9,-0.345522
-0.996284,-0.8,-0.442939
-0.997669,-0.7,-0.78328
-0.996868,-0.6,-0.626968
-0.99776,-0.5,-0.903578
-0.997603,-0.4,-0.970028
-0.997691,-0.3,-0.922218
-0.997672,-0.2,-0.992445
-0.997906,-0.1,-0.996644
-0.997853,0,-0.997282
-0.99777,0.1,-0.993224
-0.997801,0.2,-0.994599
-0.997652,0.3,-0.958611
-0.997735,0.4,-0.981502
-0.997804,0.5,-0.96517
-0.997946,0.6,-0.9557
-0.997649,0.7,-0.864793
-0.997693,0.8,-0.925584
-0.997397,0.9,-0.747338
-0.996047,-1,-0.948028
-0.997696,-0.9,-0.899996
-0.998012,-0.8,-0.763504
-0.997806,-0.7,-0.935098
-0.997637,-0.6,-0.928938
-0.997684,-0.5,-0.928399
-0.997763,-0.4,-0.983807
-0.997681,-0.3,-0.989584
-0.997895,-0.2,-0.993575
-0.997769,-0.1,-0.99332
-0.997765,0,-0.997687
-0.997495,0.1,-0.991422
-0.997475,0.2,-0.991406
-0.997431,0.3,-0.971752
-0.997473,0.4,-0.903611
-0.997543,0.5,-0.95905
-0.997437,0.6,-0.895178
-0.997525,0.7,-0.925574
-0.997258,0.8,-0.911325
-0.996743,0.9,-0.88945
-0.993515,-1,-0.748916
-0.997493,-0.9,-0.926833
-0.997991,-0.8,-0.834078
-0.997821,-0.7,-0.946082
-0.997656,-0.6,-0.954706
-0.997591,-0.5,-0.956477
-0.99753,-0.4,-0.964826
-0.997582,-0.3,-0.989606
-0.997328,-0.2,-0.989483
-0.997563,-0.1,-0.9972
-0.997334,0,-0.99688
-0.997175,0.1,-0.989
-0.997065,0.2,-0.97508
-0.996561,0.3,-0.961467
-0.996578,0.4,-0.912434
-0.996824,0.5,-0.963153
-0.996749,0.6,-0.820195
-0.996569,0.7,-0.817987
-0.996152,0.8,-0.902874
-0.995624,0.9,-0.555619
-0.993395,-1,-0.811047
-0.997614,-0.9,-0.944809
-0.997859,-0.8,-0.853907
-0.997372,-0.7,-0.951875
-0.997341,-0.6,-0.965272
-0.997076,-0.5,-0.886806
-0.997016,-0.4,-0.960582
-0.996891,-0.3,-0.994718
-0.996803,-0.2,-0.997403
-0.996712,-0.1,-0.99611
-0.996404,0,-0.996092
-0.996148,0.1,-0.991777
-0.996117,0.2,-0.954262
-0.996342,0.3,-0.975771
-0.995854,0.4,-0.961251
-0.995849,0.5,-0.864803
-0.994995,0.6,-0.937437
-0.995525,0.7,-0.756811
-0.995739,0.8,-0.772342
-0.994169,0.9,-0.574463
-0.992057,-1,-0.667999
-0.997561,-0.9,-0.916955
-0.997202,-0.8,-0.92421
-0.996952,-0.7,-0.972444
-0.996831,-0.6,-0.898641
-0.996518,-0.5,-0.979041
-0.995978,-0.4,-0.954322
-0.995928,-0.3,-0.992528
-0.995703,-0.2,-0.997674
-0.995884,-0.1,-0.997043
-0.995539,0,-0.994977
-0.995187,0.1,-0.987381
-0.995257,0.2,-0.984978
-0.994911,0.3,-0.952181
-0.995008,0.4,-0.971515
-0.994799,0.5,-0.948871
-0.994421,0.6,-0.801457
-0.994026,0.7,-0.90442
-0.994092,0.8,-0.889969
-0.993077,0.9,-0.866478
-0.990386,-1,-0.837415
-0.997471,-0.9,-0.594108
-0.993075,-0.8,-0.954228
-0.996036,-0.7,-0.977218
-0.995749,-0.6,-0.971241
-0.995334,-0.5,-0.984371
-0.995084,-0.4,-0.994118
-0.994968,-0.3,-0.984002
-0.993991,-0.2,-0.997036
-0.994467,-0.1,-0.997206
-0.994177,0,-0.994088
-0.993901,0.1,-0.988174
-0.993728,0.2,-0.955068
-0.993892,0.3,-0.966277
-0.993166,0.4,-0.968151
-0.993286,0.5,-0.872592
-0.992629,0.6,-0.89503
-0.992283,0.7,-0.908717
-0.991647,0.8,-0.784158
-0.990976,0.9,-0.876615
-0.988364,-1,-0.827595
-0.996169,-0.9,-0.937459
-0.995637,-0.8,-0.722153
-0.995262,-0.7,-0.87295
-0.994445,-0.6,-0.982426
-0.993898,-0.5,-0.993912
-0.994174,-0.4,-0.964742
-0.9932,-0.3,-0.996864
-0.992728,-0.2,-0.997461
-0.993385,-0.1,-0.996695
-0.992178,0,-0.992056
-0.992286,0.1,-0.987766
-0.992069,0.2,-0.980446
-0.991627,0.3,-0.91918
-0.991699,0.4,-0.949068
-0.991366,0.5,-0.946783
-0.990838,0.6,-0.915088
-0.989895,0.7,-0.821265
-0.98958,0.8,-0.897101
-0.986493,0.9,-0.710726
-0.985127,-1,-0.962658
-0.99498,-0.9,-0.965142
-0.993568,-0.8,-0.947994
-0.99345,-0.7,-0.98009
-0.99242,-0.6,-0.913993
-0.992471,-0.5,-0.939459
-0.991524,-0.4,-0.992267
-0.991658,-0.3,-0.998405
-0.991376,-0.2,-0.994935
-0.990431,-0.1,-0.99717
-0.989986,0,-0.989979
-0.990068,0.1,-0.980737
-0.990156,0.2,-0.977999
-0.989459,0.3,-0.962598
-0.988464,0.4,-0.946573
-0.988497,0.5,-0.886259
-0.988642,0.6,-0.930026
-0.988508,0.7,-0.910157
-0.986257,0.8,-0.756113
-0.985859,0.9,-0.868521
-0.983151,-1,-0.70755
-0.993727,-0.9,-0.93643
-0.992183,-0.8,-0.82431
-0.991722,-0.7,-0.984371
-0.990856,-0.6,-0.991499
-0.990622,-0.5,-0.866421
-0.99006,-0.4,-0.994823
-0.98973,-0.3,-0.986952
-0.988568,-0.2,-0.996858
-0.989243,-0.1,-0.993631
-0.988323,0,-0.988348
-0.98779,0.1,-0.977917
-0.987598,0.2,-0.969678
-0.987379,0.3,-0.958158
-0.986904,0.4,-0.938978
-0.986701,0.5,-0.918474
-0.986036,0.6,-0.833947
-0.985042,0.7,-0.894953
-0.984929,0.8,-0.623599
-0.98361,0.9,-0.678437
-0.979808,-1,-0.707624
-0.991811,-0.9,-0.92715
-0.990174,-0.8,-0.967574
-0.990097,-0.7,-0.980517
-0.989058,-0.6,-0.98546
-0.988392,-0.5,-0.99691
-0.98734,-0.4,-0.984114
-0.987199,-0.3,-0.998439
-0.986643,-0.2,-0.996292
-0.986298,-0.1,-0.99221
-0.985612,0,-0.986243
-0.984839,0.1,-0.962489
-0.984749,0.2,-0.965069
-0.984358,0.3,-0.948402
-0.983991,0.4,-0.935991
-0.983942,0.5,-0.914299
-0.983073,0.6,-0.891177
-0.98138,0.7,-0.78742
-0.981785,0.8,-0.697289
-0.981358,0.9,-0.861498
-0.97683,-1,-0.720504
-0.990108,-0.9,-0.936805
-0.990447,-0.8,-0.919121
-0.987427,-0.7,-0.986332
-0.986249,-0.6,-0.916029
-0.984759,-0.5,-0.995299
-0.985226,-0.4,-0.998366
-0.983858,-0.3,-0.983541
-0.984631,-0.2,-0.996341
-0.983354,-0.1,-0.992952
-0.983041,0,-0.982402
-0.982421,0.1,-0.971956
-0.982053,0.2,-0.961917
-0.981101,0.3,-0.928304
-0.980701,0.4,-0.929101
-0.980703,0.5,-0.915091
-0.979867,0.6,-0.884653
-0.978956,0.7,-0.85834
