@relation FuncionCuadratica

@attribute controlVar0 numeric
@attribute controlVar1 numeric
@attribute varObjetivo numeric

@data
-0.999867,-1,0.8598
-0.927526,-0.9,0
-0.985111,-0.8,-0.745375
-0.997091,-0.7,-0.771954
-0.997688,-0.6,-0.932938
-0.999335,-0.5,-0.953488
-0.999559,-0.4,-0.968198
-0.999736,-0.3,-0.983643
-0.999731,-0.2,-0.991884
-0.999846,-0.1,-0.997923
-0.999919,0,-0.999957
-0.999885,0.1,-0.998513
-0.999864,0.2,-0.99492
-0.999836,0.3,-0.986302
-0.999806,0.4,-0.959955
-0.999665,0.5,-0.957397
-0.99954,0.6,-0.883046
-0.999072,0.7,-0.912514
-0.998966,0.8,-0.793039
-0.997741,0.9,-0.869381
-0.998068,1,-0.700322
-0.96767,-1,-0.967399
-0.99378,-0.9,-0.841215
-0.993353,-0.8,-0.942279
-0.991399,-0.7,-0.918046
-0.990322,-0.6,-0.983321
-0.989933,-0.5,-0.991805
-0.990391,-0.4,-0.995975
-0.987882,-0.3,-0.999945
-0.988905,-0.2,-0.99853
-0.986517,-0.1,-0.993836
-0.986173,0,-0.986612
-0.984925,0.1,-0.973761
-0.983873,0.2,-0.958317
-0.983325,0.3,-0.942322
-0.9824,0.4,-0.910381
-0.981093,0.5,-0.893792
-0.980419,0.6,-0.848267
-0.977917,0.7,-0.836206
-0.976687,0.8,-0.686575
-0.974317,0.9,-0.785818
-0.973542,1,-0.706598
-0.902272,-1,-0.99925
-0.95961,-0.9,-0.978788
-0.958163,-0.8,-0.988084
-0.95621,-0.7,-0.996263
-0.951507,-0.6,-0.99923
-0.949519,-0.5,-0.999333
-0.947121,-0.4,-0.996433
-0.946505,-0.3,-0.986284
-0.943899,-0.2,-0.982256
-0.943292,-0.1,-0.958842
-0.941413,0,-0.94219
-0.939605,0.1,-0.918485
-0.938299,0.2,-0.876259
-0.936889,0.3,-0.871029
-0.934798,0.4,-0.79057
-0.932685,0.5,-0.819823
-0.931727,0.6,-0.759819
-0.920942,0.7,-0.717945
-0.926383,0.8,-0.674771
-0.906407,0.9,-0.59218
-0.919349,1,-0.592557
-0.796352,-1,-0.992618
-0.899933,-0.9,-0.998712
-0.903151,-0.8,-0.999354
-0.887316,-0.7,-0.994785
-0.901234,-0.6,-0.994076
-0.880675,-0.5,-0.986467
-0.884561,-0.4,-0.96629
-0.874287,-0.3,-0.942932
-0.882092,-0.2,-0.925883
-0.870209,-0.1,-0.896175
-0.869982,0,-0.868568
-0.865806,0.1,-0.836744
-0.861001,0.2,-0.808566
-0.861454,0.3,-0.765482
-0.859388,0.4,-0.728563
-0.856784,0.5,-0.686716
-0.854671,0.6,-0.655998
-0.85189,0.7,-0.600749
-0.845685,0.8,-0.451686
-0.839211,0.9,-0.474482
-0.837525,1,0
-0.7164,-1,-0.960894
-0.805741,-0.9,-0.997277
-0.803383,-0.8,-0.982484
-0.794141,-0.7,-0.993902
-0.792408,-0.6,-0.936404
-0.785369,-0.5,-0.925426
-0.793401,-0.4,-0.906133
-0.777302,-0.3,-0.866635
-0.780206,-0.2,-0.839615
-0.771007,-0.1,-0.802778
-0.771348,0,-0.76845
-0.765778,0.1,-0.731847
-0.759619,0.2,-0.678669
-0.76019,0.3,-0.649327
