@relation FuncionCuadratica

@attribute controlVar0 numeric
@attribute controlVar1 numeric
@attribute varObjetivo numeric

@data
100,-1,-0.638559
100,0,-0.641391
105,-1,-0.639902
105,0,-0.6414
110,-1,-0.640114
110,0,-0.640365
115,-1,-0.641875
115,0,-0.64461
120,-1,-0.643347
120,0,-0.640711
125,-1,-0.640465
125,0,-0.641912
130,-1,-0.641628
130,0,-0.643733
135,-1,-0.641468
135,0,-0.642573
140,-1,-0.640699
140,0,-0.645812
145,-1,-0.640923
145,0,-0.642788
150,-1,-0.642378
150,0,-0.642621
155,-1,-0.642709
155,0,-0.643388
160,-1,-0.639485
160,0,-0.644052
165,-1,-0.643386
165,0,-0.642452
170,-1,-0.641779
170,0,-0.643478
175,-1,-0.643343
175,0,-0.641694
180,-1,-0.64294
180,0,-0.643739
185,-1,-0.642371
185,0,-0.64105
190,-1,-0.642918
190,0,-0.641294
195,-1,-0.642824
195,0,-0.643004
200,-1,-0.641527
200,0,-0.641208
205,-1,-0.642578
205,0,-0.641897
210,-1,-0.641488
210,0,-0.640892
215,-1,-0.642845
215,0,-0.64354
220,-1,-0.642778
220,0,-0.64225
225,-1,-0.641797
225,0,-0.64272
230,-1,-0.641148
230,0,-0.642163
235,-1,-0.645955
235,0,-0.641378
240,-1,-0.642324
240,0,-0.642083
245,-1,-0.643458
245,0,-0.642371
250,-1,-0.641215
250,0,-0.641885
255,-1,-0.641144
255,0,-0.642441
260,-1,-0.644345
260,0,-0.642565
265,-1,-0.643221
265,0,-0.640982
270,-1,-0.644247
270,0,-0.641103
275,-1,-0.642841
275,0,-0.640438
280,-1,-0.643268
280,0,-0.640972
285,-1,-0.643257
285,0,-0.644971
290,-1,-0.642008
290,0,-0.641582
295,-1,-0.644452
295,0,-0.64046
300,-1,-0.642946
300,0,-0.642073
305,-1,-0.640244
305,0,-0.641164
310,-1,-0.64149
310,0,-0.642224
315,-1,-0.641604
315,0,-0.642114
320,-1,-0.643664
320,0,-0.641364
325,-1,-0.643549
325,0,-0.642949
330,-1,-0.643236
330,0,-0.647128
335,-1,-0.642502
335,0,-0.641987
340,-1,-0.642124
340,0,-0.642414
345,-1,-0.64224
345,0,-0.641505
350,-1,-0.643095
350,0,-0.64153
355,-1,-0.644553
355,0,-0.643773
360,-1,-0.644615
360,0,-0.641064
365,-1,-0.642341
365,0,-0.642496
370,-1,-0.64143
370,0,-0.643277
375,-1,-0.641652
375,0,-0.642297
380,-1,-0.643451
380,0,-0.643863
385,-1,-0.641565
385,0,-0.6446
390,-1,-0.642188
390,0,-0.64203
395,-1,-0.644727
395,0,-0.643622
400,-1,-0.640725
400,0,-0.643838
