@relation FuncionCuadratica

@attribute controlVar0 numeric
@attribute controlVar1 numeric
@attribute controlVar2 numeric
@attribute controlVar3 numeric
@attribute varObjetivo numeric

@data
0,-0.997607,0,-1,-0.99758
0,-0.997582,0,-0.8,-0.997582
0,-0.997581,0,-0.6,-0.997582
0,-0.997583,0,-0.4,-0.997584
0,-0.997591,0,-0.2,-0.997581
0,-0.99759,0,0,-0.997583
0,-0.997701,0,0.2,-0.997589
0,-0.997611,0,0.4,-0.997584
0,-0.997668,0,0.6,-0.997583
0,-0.997583,0,0.8,-0.997584
0,-0.997622,0,1,-0.997584
0,-0.997647,0.2,-1,-0.96226
0,-0.983392,0.2,-0.8,-0.958899
0,-0.996754,0.2,-0.6,-0.992655
0,-0.998941,0.2,-0.4,-0.998335
0,-0.999153,0.2,-0.2,-0.996962
0,-0.998405,0.2,0,-0.998219
0,-0.999325,0.2,0.2,-0.999199
0,-0.999191,0.2,0.4,-0.99874
0,-0.999188,0.2,0.6,-0.998687
0,-0.998756,0.2,0.8,-0.99709
0,-0.998811,0.2,1,-0.997645
0,-0.998737,0.4,-1,-0.776851
0,-0.934056,0.4,-0.8,-0.852156
0,-0.990746,0.4,-0.6,-0.977012
0,-0.998037,0.4,-0.4,-0.994421
0,-0.999436,0.4,-0.2,-0.998796
0,-0.999792,0.4,0,-0.99981
0,-0.999929,0.4,0.2,-0.998986
0,-0.999853,0.4,0.4,-0.996206
0,-0.984532,0.4,0.6,-0.917196
0,-0.990021,0.4,0.8,-0.96159
0,-0.994456,0.4,1,-0.979302
0,-0.99618,0.6,-1,-0.999839
0,-0.994554,0.6,-0.8,-0.935781
0,-0.996382,0.6,-0.6,-0.959192
0,-0.997368,0.6,-0.4,-0.978222
0,-0.952829,0.6,-0.2,-0.908879
0,-0.996036,0.6,0,-0.995536
0,-0.999946,0.6,0.2,-0.998546
0,-0.998529,0.6,0.4,-0.991613
0,-0.997803,0.6,0.6,-0.989684
0,-0.995752,0.6,0.8,-0.981495
0,-0.99452,0.6,1,-0.971187
0,-0.632379,0.8,-1,-0.97952
0,-0.838114,0.8,-0.8,-0.599548
0,-0.963926,0.8,-0.6,-0.91143
0,-0.99089,0.8,-0.4,-0.977614
0,-0.997434,0.8,-0.2,-0.992876
0,-0.998598,0.8,0,-0.998088
0,-0.999949,0.8,0.2,-0.999372
0,-0.954643,0.8,0.4,0
0,-0.966184,0.8,0.6,-0.862259
0,-0.978043,0.8,0.8,-0.902351
0,-0.981178,0.8,1,-0.916627
0,-0.977621,1,-1,-0.998798
0,-0.970319,1,-0.8,-0.902609
0,-0.97757,1,-0.6,-0.612736
0,-0.813134,1,-0.4,-0.715381
0,-0.976817,1,-0.2,-0.952088
0,-0.99812,1,0,-0.997135
0,-0.999952,1,0.2,-0.999241
0,-0.999346,1,0.4,-0.99491
0,-0.997749,1,0.6,-0.98375
0,-0.99484,1,0.8,-0.561147
0,-0.783908,1,1,-0.337735
0,-0.830091,0,-1,-0.836722
0,-0.982196,0,-0.8,-0.981999
0,-0.980964,0,-0.6,-0.981375
0,-0.982655,0,-0.4,-0.983025
0,-0.982193,0,-0.2,-0.982606
0,-0.9827,0,0,-0.982146
0,-0.982445,0,0.2,-0.982239
0,-0.982591,0,0.4,-0.982224
0,-0.983193,0,0.6,-0.983119
0,-0.983471,0,0.8,-0.983778
0,-0.983075,0,1,-0.983791
0,-0.983367,0.2,-1,-0.999025
0,-0.9603,0.2,-0.8,-0.848399
0,-0.999142,0.2,-0.6,-0.995098
0,-0.992872,0.2,-0.4,-0.995969
0,-0.988044,0.2,-0.2,-0.989539
0,-0.985534,0.2,0,-0.985719
0,-0.983746,0.2,0.2,-0.982273
0,-0.974615,0.2,0.4,-0.957742
0,-0.973867,0.2,0.6,-0.959512
0,-0.974349,0.2,0.8,-0.961693
0,-0.975913,0.2,1,-0.963468
0,-0.974704,0.4,-1,-0.98839
0,-0.9965,0.4,-0.8,-0.999901
0,-0.994615,0.4,-0.6,-0.998315
0,-0.992569,0.4,-0.4,-0.967265
0,-0.996424,0.4,-0.2,-0.998821
0,-0.989392,0.4,0,-0.989886
0,-0.984921,0.4,0.2,-0.98124
0,-0.980866,0.4,0.4,-0.973442
0,-0.978383,0.4,0.6,-0.968224
0,-0.97554,0.4,0.8,-0.961129
0,-0.970694,0.4,1,-0.735894
0,-0.857467,0.6,-1,-0.96716
0,-0.992633,0.6,-0.8,-0.950862
0,-0.99952,0.6,-0.6,-0.996813
0,-0.997294,0.6,-0.4,-0.999896
0,-0.993315,0.6,-0.2,-0.996385
0,-0.991253,0.6,0,-0.991666
0,-0.985003,0.6,0.2,-0.94036
0,-0.956197,0.6,0.4,-0.902548
0,-0.959638,0.6,0.6,-0.920301
0,-0.962527,0.6,0.8,-0.928044
0,-0.95439,0.6,1,-0.899551
0,-0.947516,0.8,-1,-0.984736
0,-0.999877,0.8,-0.8,-0.990973
0,-0.998022,0.8,-0.6,-0.999384
0,-0.898597,0.8,-0.4,-0.645737
0,-0.988241,0.8,-0.2,-0.966564
0,-0.994553,0.8,0,-0.994711
0,-0.984627,0.8,0.2,-0.97931
0,-0.978422,0.8,0.4,-0.964686
0,-0.970718,0.8,0.6,-0.945358
0,-0.966824,0.8,0.8,-0.932817
0,-0.560655,0.8,1,0
0,-0.782086,1,-1,-0.919355
0,-0.9929,1,-0.8,-0.928847
0,-0.99946,1,-0.6,-0.985283
0,-0.998033,1,-0.4,-0.99986
0,-0.99445,1,-0.2,-0.997269
0,-0.989488,1,0,-0.989817
0,-0.984572,1,0.2,-0.979933
0,-0.926291,1,0.4,-0.77396
0,-0.923368,1,0.6,-0.801399
0,-0.928453,1,0.8,-0.839687
0,-0.937606,1,1,-0.842962
0,-0.840883,0,-1,-0.845807
0,-0.93691,0,-0.8,-0.934422
0,-0.937009,0,-0.6,-0.93644
0,-0.93244,0,-0.4,-0.927192
0,-0.935963,0,-0.2,-0.935612
0,-0.936591,0,0,-0.936989
0,-0.938159,0,0.2,-0.938065
0,-0.937594,0,0.4,-0.937914
0,-0.937026,0,0.6,-0.93613
0,-0.937423,0,0.8,-0.945723
0,-0.947291,0,1,-0.952721
0,-0.938231,0.2,-1,-0.964309
0,-0.964,0.2,-0.8,-0.977374
0,-0.959597,0.2,-0.6,-0.971194
0,-0.952914,0.2,-0.4,-0.959969
0,-0.946016,0.2,-0.2,-0.963676
0,-0.953577,0.2,0,-0.953397
0,-0.939606,0.2,0.2,-0.932673
0,-0.934163,0.2,0.4,-0.922814
