@relation FuncionCuadratica

@attribute controlVar0 numeric
@attribute controlVar1 numeric
@attribute varObjetivo numeric
@attribute speed numeric
@attribute distance numeric

@data
-0.997809,-1,-0.750673,0,?
-0.874593,-0.9,-0.694127,0,?
-0.98491,-0.8,-0.738708,0,?
-0.990305,-0.7,-0.777487,0,?
-0.997012,-0.6,-0.79832,0,?
-0.997475,-0.5,-0.952755,0,?
-0.997667,-0.4,-0.969423,0,?
-0.99775,-0.3,-0.989905,0,?
-0.997764,-0.2,-0.995922,0,?
-0.997672,-0.1,-0.996098,0,?
-0.997689,0,-0.997462,0,?
-0.997737,0.1,-0.997492,0,?
-0.997809,0.2,-0.988907,0,?
-0.997675,0.3,-0.994706,0,?
-0.997801,0.4,-0.984118,0,?
-0.99779,0.5,-0.977754,0,?
-0.997697,0.6,-0.938747,0,?
-0.997676,0.7,-0.983929,0,?
-0.997744,0.8,-0.95669,0,?
-0.997728,0.9,-0.948102,0,?
-0.997554,-1,-0.961,0,?
-0.997679,-0.9,-0.93385,0,?
-0.997611,-0.8,-0.971629,0,?
-0.997688,-0.7,-0.98881,0,?
-0.997748,-0.6,-0.974056,0,?
-0.997733,-0.5,-0.983974,0,?
-0.997408,-0.4,-0.990928,0,?
-0.997512,-0.3,-0.995788,0,?
-0.997662,-0.2,-0.996935,0,?
-0.99794,-0.1,-0.997766,0,?
-0.997767,0,-0.997622,0,?
-0.997672,0.1,-0.995911,0,?
-0.997547,0.2,-0.994845,0,?
-0.997627,0.3,-0.994275,0,?
-0.997625,0.4,-0.990895,0,?
-0.997725,0.5,-0.965737,0,?
-0.99761,0.6,-0.97965,0,?
-0.997468,0.7,-0.982515,0,?
-0.997394,0.8,-0.979347,0,?
-0.997358,0.9,-0.932497,0,?
-0.996183,-1,-0.963614,0,?
-0.997556,-0.9,-0.984612,0,?
-0.99764,-0.8,-0.974767,0,?
-0.997439,-0.7,-0.982664,0,?
-0.997434,-0.6,-0.987383,0,?
-0.997181,-0.5,-0.992711,0,?
-0.997339,-0.4,-0.990044,0,?
-0.997161,-0.3,-0.993879,0,?
-0.997138,-0.2,-0.9968,0,?
-0.997231,-0.1,-0.997385,0,?
-0.996966,0,-0.996844,0,?
-0.997259,0.1,-0.995057,0,?
-0.99708,0.2,-0.993451,0,?
-0.99701,0.3,-0.991271,0,?
-0.99698,0.4,-0.986339,0,?
-0.996748,0.5,-0.958001,0,?
-0.997035,0.6,-0.960503,0,?
-0.996744,0.7,-0.966065,0,?
-0.996923,0.8,-0.951527,0,?
-0.996783,0.9,-0.944182,0,?
-0.995618,-1,-0.959677,0,?
-0.997173,-0.9,-0.983309,0,?
-0.996816,-0.8,-0.974492,0,?
-0.99683,-0.7,-0.987487,0,?
-0.996728,-0.6,-0.988541,0,?
-0.996681,-0.5,-0.965463,0,?
-0.996823,-0.4,-0.997149,0,?
-0.996746,-0.3,-0.995369,0,?
-0.996486,-0.2,-0.997478,0,?
-0.996565,-0.1,-0.997279,0,?
-0.996498,0,-0.996173,0,?
-0.996233,0.1,-0.994594,0,?
-0.996421,0.2,-0.991036,0,?
-0.996285,0.3,-0.988411,0,?
-0.996112,0.4,-0.977871,0,?
-0.996173,0.5,-0.949906,0,?
-0.996151,0.6,-0.982209,0,?
-0.996176,0.7,-0.963116,0,?
-0.99581,0.8,-0.958589,0,?
-0.996043,0.9,-0.950651,0,?
-0.994437,-1,-0.977874,0,?
-0.996493,-0.9,-0.975764,0,?
-0.99614,-0.8,-0.968897,0,?
-0.995681,-0.7,-0.98937,0,?
-0.995798,-0.6,-0.992324,0,?
-0.995584,-0.5,-0.995429,0,?
-0.995599,-0.4,-0.995308,0,?
-0.995378,-0.3,-0.996594,0,?
-0.99533,-0.2,-0.997417,0,?
-0.995314,-0.1,-0.996737,0,?
-0.995141,0,-0.995048,0,?
-0.995289,0.1,-0.989909,0,?
-0.995276,0.2,-0.987182,0,?
-0.995,0.3,-0.985046,0,?
-0.994758,0.4,-0.980307,0,?
-0.994914,0.5,-0.972283,0,?
-0.994944,0.6,-0.929288,0,?
-0.994785,0.7,-0.941912,0,?
-0.994743,0.8,-0.954044,0,?
-0.994919,0.9,-0.947303,0,?
-0.992841,-1,-0.987723,0,?
-0.995572,-0.9,-0.985108,0,?
-0.995437,-0.8,-0.981581,0,?
-0.994973,-0.7,-0.984014,0,?
-0.994578,-0.6,-0.994614,0,?
-0.994635,-0.5,-0.99686,0,?
-0.994047,-0.4,-0.996796,0,?
-0.994059,-0.3,-0.997254,0,?
-0.994139,-0.2,-0.997012,0,?
-0.99432,-0.1,-0.996398,0,?
-0.994063,0,-0.993575,0,?
-0.994099,0.1,-0.99107,0,?
-0.993919,0.2,-0.97973,0,?
-0.993967,0.3,-0.975527,0,?
-0.993476,0.4,-0.977659,0,?
-0.993647,0.5,-0.97363,0,?
-0.993455,0.6,-0.960392,0,?
-0.993084,0.7,-0.874024,0,?
-0.992707,0.8,-0.94898,0,?
-0.993063,0.9,-0.909012,0,?
-0.991146,-1,-0.984536,0,?
-0.993949,-0.9,-0.989011,0,?
-0.993515,-0.8,-0.979756,0,?
-0.993082,-0.7,-0.996414,0,?
-0.993066,-0.6,-0.993034,0,?
-0.992606,-0.5,-0.99684,0,?
-0.992687,-0.4,-0.997786,0,?
-0.992661,-0.3,-0.997144,0,?
-0.992561,-0.2,-0.996045,0,?
-0.992563,-0.1,-0.995012,0,?
-0.992486,0,-0.992167,0,?
-0.992256,0.1,-0.988056,0,?
-0.992325,0.2,-0.984901,0,?
-0.992153,0.3,-0.974721,0,?
-0.991995,0.4,-0.964815,0,?
-0.991826,0.5,-0.969743,0,?
-0.991704,0.6,-0.963494,0,?
-0.991457,0.7,-0.942051,0,?
-0.991063,0.8,-0.949705,0,?
-0.990636,0.9,-0.939485,0,?
-0.988755,-1,-0.978959,0,?
-0.992245,-0.9,-0.97351,0,?
-0.991538,-0.8,-0.995105,0,?
-0.991802,-0.7,-0.951182,0,?
-0.990625,-0.6,-0.997806,0,?
-0.99086,-0.5,-0.997103,0,?
-0.990941,-0.4,-0.997674,0,?
-0.990634,-0.3,-0.996371,0,?
-0.990656,-0.2,-0.995097,0,?
-0.990205,-0.1,-0.992851,0,?
-0.990442,0,-0.990137,0,?
-0.990503,0.1,-0.985389,0,?
-0.990077,0.2,-0.981744,0,?
-0.989916,0.3,-0.977492,0,?
-0.989529,0.4,-0.962632,0,?
-0.989911,0.5,-0.95008,0,?
-0.989229,0.6,-0.9558,0,?
-0.989672,0.7,-0.947028,0,?
-0.989073,0.8,-0.941769,0,?
-0.98906,0.9,-0.83658,0,?
-0.986449,-1,-0.974794,0,?
-0.990277,-0.9,-0.991782,0,?
-0.989859,-0.8,-0.993527,0,?
-0.989418,-0.7,-0.996937,0,?
-0.988978,-0.6,-0.997664,0,?
-0.988886,-0.5,-0.997846,0,?
-0.989127,-0.4,-0.997743,0,?
-0.98879,-0.3,-0.995955,0,?
-0.988351,-0.2,-0.993925,0,?
-0.988377,-0.1,-0.991675,0,?
-0.988545,0,-0.988744,0,?
-0.988241,0.1,-0.981481,0,?
-0.9879,0.2,-0.978592,0,?
-0.987661,0.3,-0.968388,0,?
-0.987961,0.4,-0.967106,0,?
-0.987002,0.5,-0.900589,0,?
-0.987311,0.6,-0.95629,0,?
-0.987029,0.7,-0.928871,0,?
-0.986805,0.8,-0.932633,0,?
-0.986765,0.9,-0.931208,0,?
-0.983269,-1,-0.932897,0,?
-0.98679,-0.9,-0.997363,0,?
-0.987412,-0.8,-0.995113,0,?
-0.987252,-0.7,-0.997614,0,?
-0.986757,-0.6,-0.996805,0,?
-0.985881,-0.5,-0.997714,0,?
-0.986309,-0.4,-0.996428,0,?
-0.986139,-0.3,-0.996675,0,?
-0.985827,-0.2,-0.992384,0,?
-0.985937,-0.1,-0.989375,0,?
-0.985699,0,-0.984906,0,?
-0.985131,0.1,-0.976531,0,?
-0.98555,0.2,-0.971491,0,?
-0.985056,0.3,-0.968053,0,?
-0.984797,0.4,-0.957579,0,?
-0.985058,0.5,-0.950274,0,?
-0.984566,0.6,-0.890839,0,?
-0.983879,0.7,-0.941499,0,?
-0.984184,0.8,-0.908498,0,?
-0.984064,0.9,-0.925157,0,?
-0.980907,-1,-0.996271,0,?
-0.985549,-0.9,-0.993209,0,?
-0.986253,-0.8,-0.99674,0,?
-0.984042,-0.7,-0.996489,0,?
-0.984169,-0.6,-0.997683,0,?
-0.983377,-0.5,-0.997036,0,?
-0.983586,-0.4,-0.995259,0,?
-0.983668,-0.3,-0.997177,0,?
-0.982542,-0.2,-0.993325,0,?
-0.982744,-0.1,-0.98723,0,?
-0.982874,0,-0.982716,0,?
-0.982477,0.1,-0.976378,0,?
-0.982471,0.2,-0.951061,0,?
-0.982351,0.3,-0.951028,0,?
-0.981683,0.4,-0.955904,0,?
-0.981446,0.5,-0.939985,0,?
-0.981511,0.6,-0.923078,0,?
-0.981176,0.7,-0.89561,0,?
-0.980449,0.8,-0.915468,0,?
-0.980991,0.9,-0.911837,0,?
-0.977628,-1,-0.997173,0,?
-0.982494,-0.9,-0.993467,0,?
-0.982215,-0.8,-0.997836,0,?
-0.981739,-0.7,-0.996498,0,?
-0.980815,-0.6,-0.997698,0,?
-0.98025,-0.5,-0.996799,0,?
-0.979828,-0.4,-0.993306,0,?
-0.980478,-0.3,-0.994693,0,?
-0.980241,-0.2,-0.987932,0,?
-0.979662,-0.1,-0.985217,0,?
-0.979328,0,-0.978794,0,?
-0.979288,0.1,-0.97387,0,?
-0.978918,0.2,-0.967996,0,?
-0.978029,0.3,-0.954284,0,?
-0.978512,0.4,-0.936919,0,?
-0.978215,0.5,-0.950184,0,?
-0.979037,0.6,-0.921174,0,?
-0.978107,0.7,-0.853356,0,?
-0.97876,0.8,-0.87322,0,?
-0.977004,0.9,-0.889272,0,?
-0.973003,-1,-0.996799,0,?
-0.979733,-0.9,-0.997351,0,?
-0.979002,-0.8,-0.969609,0,?
-0.978198,-0.7,-0.996937,0,?
-0.977861,-0.6,-0.997736,0,?
-0.977463,-0.5,-0.995979,0,?
-0.976965,-0.4,-0.99332,0,?
-0.977459,-0.3,-0.996079,0,?
-0.976825,-0.2,-0.985706,0,?
-0.976721,-0.1,-0.983628,0,?
-0.976397,0,-0.97648,0,?
-0.97566,0.1,-0.968396,0,?
-0.976103,0.2,-0.958663,0,?
-0.97538,0.3,-0.961255,0,?
-0.975224,0.4,-0.942604,0,?
-0.974916,0.5,-0.92674,0,?
-0.974552,0.6,-0.926109,0,?
-0.974764,0.7,-0.921099,0,?
-0.973976,0.8,-0.913721,0,?
-0.974154,0.9,-0.873979,0,?
-0.969318,-1,-0.998476,0,?
-0.975725,-0.9,-0.998181,0,?
-0.975514,-0.8,-0.998045,0,?
-0.97412,-0.7,-0.987506,0,?
-0.974018,-0.6,-0.993613,0,?
-0.973619,-0.5,-0.995491,0,?
-0.972987,-0.4,-0.991599,0,?
-0.97331,-0.3,-0.986769,0,?
-0.972607,-0.2,-0.982664,0,?
-0.972602,-0.1,-0.980056,0,?
-0.972386,0,-0.972223,0,?
-0.972097,0.1,-0.96383,0,?
-0.97223,0.2,-0.959241,0,?
-0.971488,0.3,-0.951118,0,?
-0.971339,0.4,-0.943037,0,?
-0.971199,0.5,-0.936727,0,?
-0.970686,0.6,-0.910085,0,?
-0.970763,0.7,-0.898344,0,?
-0.97019,0.8,-0.865952,0,?
-0.969357,0.9,-0.886459,0,?
-0.963212,-1,-0.9984,0,?
-0.972435,-0.9,-0.994319,0,?
-0.971377,-0.8,-0.997993,0,?
-0.971075,-0.7,-0.997164,0,?
-0.969481,-0.6,-0.996285,0,?
-0.970279,-0.5,-0.996789,0,?
-0.969183,-0.4,-0.985626,0,?
-0.968933,-0.3,-0.987926,0,?
-0.968572,-0.2,-0.982018,0,?
-0.968602,-0.1,-0.974602,0,?
-0.968651,0,-0.968314,0,?
-0.968144,0.1,-0.962225,0,?
-0.968198,0.2,-0.950845,0,?
-0.967512,0.3,-0.943099,0,?
-0.967242,0.4,-0.933894,0,?
-0.966927,0.5,-0.853296,0,?
-0.966703,0.6,-0.926275,0,?
-0.966006,0.7,-0.885409,0,?
-0.965345,0.8,-0.909676,0,?
-0.965453,0.9,-0.862296,0,?
-0.960792,-1,-0.978274,0,?
-0.966581,-0.9,-0.994682,0,?
-0.966727,-0.8,-0.99816,0,?
-0.966176,-0.7,-0.996656,0,?
-0.966411,-0.6,-0.993962,0,?
-0.964742,-0.5,-0.997742,0,?
-0.965346,-0.4,-0.982583,0,?
-0.965362,-0.3,-0.985746,0,?
-0.963933,-0.2,-0.977039,0,?
-0.964359,-0.1,-0.971235,0,?
-0.964347,0,-0.963269,0,?
-0.963583,0.1,-0.95373,0,?
-0.963166,0.2,-0.938951,0,?
-0.963334,0.3,-0.930201,0,?
-0.963161,0.4,-0.917197,0,?
-0.962895,0.5,-0.900198,0,?
-0.962307,0.6,-0.917528,0,?
-0.96167,0.7,-0.869303,0,?
-0.961598,0.8,-0.872941,0,?
-0.960382,0.9,-0.873489,0,?
-0.955921,-1,-0.984765,0,?
-0.963435,-0.9,-0.996247,0,?
-0.963068,-0.8,-0.997894,0,?
-0.961745,-0.7,-0.99551,0,?
-0.961497,-0.6,-0.991285,0,?
-0.961711,-0.5,-0.990673,0,?
-0.960833,-0.4,-0.98475,0,?
-0.960059,-0.3,-0.983104,0,?
-0.959826,-0.2,-0.973555,0,?
-0.95944,-0.1,-0.966406,0,?
-0.959078,0,-0.958584,0,?
-0.959085,0.1,-0.947929,0,?
-0.958966,0.2,-0.944354,0,?
-0.95837,0.3,-0.92091,0,?
-0.958204,0.4,-0.915215,0,?
-0.95809,0.5,-0.9064,0,?
-0.957011,0.6,-0.876613,0,?
-0.956528,0.7,-0.904342,0,?
-0.957343,0.8,-0.815789,0,?
-0.955353,0.9,-0.839177,0,?
-0.951044,-1,-0.998283,0,?
-0.957787,-0.9,-0.997897,0,?
-0.959051,-0.8,-0.992835,0,?
-0.957219,-0.7,-0.996026,0,?
-0.956694,-0.6,-0.989802,0,?
-0.956287,-0.5,-0.988724,0,?
-0.955781,-0.4,-0.995022,0,?
-0.955913,-0.3,-0.972825,0,?
-0.954849,-0.2,-0.97236,0,?
-0.954935,-0.1,-0.963159,0,?
-0.954556,0,-0.954722,0,?
-0.95404,0.1,-0.937464,0,?
-0.953953,0.2,-0.938372,0,?
-0.952727,0.3,-0.918176,0,?
-0.953406,0.4,-0.914056,0,?
-0.95315,0.5,-0.899614,0,?
-0.952485,0.6,-0.828145,0,?
-0.951467,0.7,-0.874132,0,?
-0.951164,0.8,-0.88462,0,?
-0.949494,0.9,-0.829744,0,?
-0.945361,-1,-0.995327,0,?
-0.954341,-0.9,-0.989892,0,?
-0.953429,-0.8,-0.998196,0,?
-0.952527,-0.7,-0.991154,0,?
-0.95202,-0.6,-0.990149,0,?
-0.950733,-0.5,-0.98699,0,?
-0.950379,-0.4,-0.993463,0,?
-0.949458,-0.3,-0.967658,0,?
-0.950084,-0.2,-0.967719,0,?
-0.949285,-0.1,-0.956882,0,?
-0.949239,0,-0.94816,0,?
-0.948626,0.1,-0.930252,0,?
-0.948335,0.2,-0.931852,0,?
-0.948774,0.3,-0.91273,0,?
-0.948169,0.4,-0.908943,0,?
-0.947032,0.5,-0.894942,0,?
-0.947233,0.6,-0.88843,0,?
-0.947649,0.7,-0.862917,0,?
-0.94659,0.8,-0.815444,0,?
-0.945961,0.9,-0.820794,0,?
-0.939621,-1,-0.997559,0,?
-0.947944,-0.9,-0.988718,0,?
-0.948761,-0.8,-0.998211,0,?
-0.947095,-0.7,-0.995755,0,?
-0.946205,-0.6,-0.9926,0,?
-0.945343,-0.5,-0.983112,0,?
-0.945228,-0.4,-0.9761,0,?
-0.945393,-0.3,-0.975803,0,?
-0.944301,-0.2,-0.963816,0,?
-0.944142,-0.1,-0.953033,0,?
-0.94383,0,-0.943757,0,?
-0.943606,0.1,-0.93469,0,?
-0.943155,0.2,-0.919362,0,?
-0.942836,0.3,-0.912693,0,?
-0.942275,0.4,-0.901357,0,?
-0.941772,0.5,-0.831736,0,?
-0.940663,0.6,-0.891885,0,?
-0.940889,0.7,-0.829255,0,?
-0.939997,0.8,-0.835926,0,?
-0.941709,0.9,-0.839608,0,?
-0.933753,-1,-0.990545,0,?
-0.94392,-0.9,-0.988345,0,?
-0.942191,-0.8,-0.994929,0,?
-0.942296,-0.7,-0.989384,0,?
-0.940208,-0.6,-0.985682,0,?
-0.940769,-0.5,-0.995408,0,?
-0.938099,-0.4,-0.965222,0,?
-0.938343,-0.3,-0.965229,0,?
-0.939912,-0.2,-0.957573,0,?
-0.938518,-0.1,-0.947125,0,?
-0.938523,0,-0.938409,0,?
-0.937536,0.1,-0.927105,0,?
-0.937563,0.2,-0.90762,0,?
-0.936835,0.3,-0.898131,0,?
-0.936733,0.4,-0.892546,0,?
-0.935546,0.5,-0.880706,0,?
-0.935175,0.6,-0.871956,0,?
-0.935911,0.7,-0.830558,0,?
-0.934107,0.8,-0.813567,0,?
-0.933708,0.9,-0.818315,0,?
-0.927549,-1,-0.991435,0,?
-0.940208,-0.9,-0.998003,0,?
-0.93617,-0.8,-0.983332,0,?
-0.935556,-0.7,-0.9903,0,?
-0.933609,-0.6,-0.984937,0,?
-0.93469,-0.5,-0.982714,0,?
-0.933255,-0.4,-0.960207,0,?
-0.933653,-0.3,-0.961714,0,?
-0.932434,-0.2,-0.951242,0,?
-0.932098,-0.1,-0.941922,0,?
-0.932022,0,-0.9311,0,?
-0.930907,0.1,-0.92051,0,?
-0.931893,0.2,-0.902952,0,?
-0.931529,0.3,-0.896816,0,?
-0.930481,0.4,-0.881129,0,?
-0.928936,0.5,-0.876284,0,?
-0.93012,0.6,-0.859674,0,?
-0.928986,0.7,-0.816249,0,?
-0.929685,0.8,-0.855566,0,?
-0.927615,0.9,-0.79256,0,?
-0.919878,-1,-0.988495,0,?
-0.932481,-0.9,-0.994321,0,?
-0.929949,-0.8,-0.980365,0,?
-0.929726,-0.7,-0.992842,0,?
-0.927591,-0.6,-0.987808,0,?
-0.927819,-0.5,-0.993011,0,?
-0.925731,-0.4,-0.957168,0,?
-0.927511,-0.3,-0.96372,0,?
-0.926464,-0.2,-0.945606,0,?
-0.925768,-0.1,-0.934733,0,?
-0.925963,0,-0.925212,0,?
-0.92468,0.1,-0.91426,0,?
-0.923982,0.2,-0.897136,0,?
-0.924249,0.3,-0.89184,0,?
-0.922828,0.4,-0.882467,0,?
-0.922711,0.5,-0.866563,0,?
-0.925267,0.6,-0.861306,0,?
-0.922989,0.7,-0.812312,0,?
-0.921379,0.8,-0.802269,0,?
-0.921784,0.9,-0.796923,0,?
-0.913826,-1,-0.984014,0,?
-0.92596,-0.9,-0.995199,0,?
-0.924196,-0.8,-0.993754,0,?
-0.923248,-0.7,-0.978965,0,?
-0.921524,-0.6,-0.971886,0,?
-0.920478,-0.5,-0.970424,0,?
-0.919772,-0.4,-0.978117,0,?
-0.920302,-0.3,-0.943887,0,?
-0.920036,-0.2,-0.942288,0,?
-0.919443,-0.1,-0.930002,0,?
-0.919028,0,-0.918195,0,?
-0.918086,0.1,-0.906119,0,?
-0.918829,0.2,-0.887565,0,?
-0.91733,0.3,-0.860631,0,?
-0.917447,0.4,-0.880322,0,?
-0.917137,0.5,-0.867378,0,?
-0.915591,0.6,-0.745301,0,?
-0.916581,0.7,-0.777628,0,?
-0.915299,0.8,-0.780183,0,?
-0.914726,0.9,-0.788416,0,?
-0.906129,-1,-0.98587,0,?
-0.918431,-0.9,-0.99392,0,?
-0.916593,-0.8,-0.969432,0,?
-0.915372,-0.7,-0.978443,0,?
-0.915091,-0.6,-0.964993,0,?
-0.913956,-0.5,-0.959248,0,?
-0.912816,-0.4,-0.957216,0,?
-0.913319,-0.3,-0.943099,0,?
-0.9131,-0.2,-0.938698,0,?
-0.911851,-0.1,-0.925453,0,?
-0.911472,0,-0.911598,0,?
-0.910625,0.1,-0.899643,0,?
-0.911471,0.2,-0.889969,0,?
-0.910266,0.3,-0.860444,0,?
-0.910086,0.4,-0.858749,0,?
-0.909313,0.5,-0.848739,0,?
-0.909645,0.6,-0.835033,0,?
-0.911948,0.7,-0.781978,0,?
-0.90704,0.8,-0.817144,0,?
-0.907843,0.9,-0.761185,0,?
-0.898768,-1,-0.988178,0,?
-0.910697,-0.9,-0.982834,0,?
-0.909639,-0.8,-0.997488,0,?
-0.907496,-0.7,-0.959737,0,?
-0.908184,-0.6,-0.971759,0,?
-0.907592,-0.5,-0.956302,0,?
-0.906977,-0.4,-0.94668,0,?
-0.905948,-0.3,-0.940992,0,?
-0.906647,-0.2,-0.92542,0,?
-0.905568,-0.1,-0.920057,0,?
-0.904914,0,-0.904412,0,?
