@relation FuncionCuadratica

@attribute controlVar0 numeric
@attribute controlVar1 numeric
@attribute controlVar2 numeric
@attribute varObjetivo numeric

@data
-20,-5,5,2137.825684
-20,-5,5.5,2229.790527
-20,-5,6,145.902191
-20,-5,6.5,28.805014
-20,-5,7,13.53416
-20,-5,7.5,8.067704
-20,-5,8,5.767239
-20,-5,8.5,3.630258
-20,-5,9,3.405469
-20,-5,9.5,3.825836
-20,-5,10,3.659897
-20,-5,10.5,3.65867
-20,-5,11,3.546458
-20,-5,11.5,6.307164
-20,-5,12,3.719184
-20,-5,12.5,3.821744
-20,-5,13,4.165866
-20,-5,13.5,3.804968
-20,-5,14,4.315555
-20,-5,14.5,4.346329
-20,-5,15,4.386117
-20,-4.75,5,2.65979
-20,-4.75,5.5,2.643309
-20,-4.75,6,3.175616
-20,-4.75,6.5,3.298819
-20,-4.75,7,3.835951
-20,-4.75,7.5,2.991922
-20,-4.75,8,3.253318
-20,-4.75,8.5,3.462777
-20,-4.75,9,3.627128
-20,-4.75,9.5,6.993516
-20,-4.75,10,4.115763
-20,-4.75,10.5,3.607786
-20,-4.75,11,6.947253
-20,-4.75,11.5,3.667867
-20,-4.75,12,3.592781
-20,-4.75,12.5,4.156623
-20,-4.75,13,4.058612
-20,-4.75,13.5,4.702374
-20,-4.75,14,3.828971
-20,-4.75,14.5,4.543898
-20,-4.75,15,5.906703
-20,-4.5,5,3.307612
-20,-4.5,5.5,3.392602
-20,-4.5,6,2.911237
-20,-4.5,6.5,2.730741
-20,-4.5,7,2.648849
-20,-4.5,7.5,3.31875
-20,-4.5,8,6.97226
-20,-4.5,8.5,3.706827
-20,-4.5,9,3.467082
-20,-4.5,9.5,3.2007
-20,-4.5,10,3.499895
-20,-4.5,10.5,4.933385
-20,-4.5,11,3.955988
-20,-4.5,11.5,4.163229
-20,-4.5,12,4.568336
-20,-4.5,12.5,9.121237
-20,-4.5,13,4.309765
-20,-4.5,13.5,3.940593
-20,-4.5,14,3.785333
-20,-4.5,14.5,4.164182
-20,-4.5,15,4.431553
-20,-4.25,5,2.23247
-20,-4.25,5.5,2.93758
-20,-4.25,6,2.673815
-20,-4.25,6.5,2.942869
-20,-4.25,7,4.073426
-20,-4.25,7.5,3.109455
-20,-4.25,8,3.492269
-20,-4.25,8.5,4.830269
-20,-4.25,9,2.992492
-20,-4.25,9.5,5.639766
-20,-4.25,10,3.131686
-20,-4.25,10.5,3.850985
-20,-4.25,11,3.946822
-20,-4.25,11.5,4.541409
-20,-4.25,12,4.829675
-20,-4.25,12.5,4.206365
-20,-4.25,13,4.244768
-20,-4.25,13.5,4.743668
-20,-4.25,14,5.399058
-20,-4.25,14.5,4.760245
-20,-4.25,15,4.810169
-20,-4,5,3.299936
-20,-4,5.5,2.479751
-20,-4,6,3.518188
-20,-4,6.5,3.434951
-20,-4,7,3.470673
-20,-4,7.5,5.318738
-20,-4,8,4.386299
-20,-4,8.5,5.565444
-20,-4,9,4.281337
-20,-4,9.5,3.609412
-20,-4,10,3.308448
-20,-4,10.5,3.364657
-20,-4,11,6.248483
-20,-4,11.5,3.909871
-20,-4,12,3.560305
-20,-4,12.5,3.664525
-20,-4,13,3.881442
-20,-4,13.5,5.779545
-20,-4,14,4.541219
-20,-4,14.5,4.270739
-20,-4,15,4.726285
-20,-3.75,5,2.624462
-20,-3.75,5.5,2.32751
-20,-3.75,6,2.760948
-20,-3.75,6.5,3.195446
-20,-3.75,7,3.957
-20,-3.75,7.5,3.39536
-20,-3.75,8,7.480766
-20,-3.75,8.5,3.301238
-20,-3.75,9,3.449158
-20,-3.75,9.5,3.84221
-20,-3.75,10,5.168725
-20,-3.75,10.5,5.882637
-20,-3.75,11,4.149436
-20,-3.75,11.5,3.523146
-20,-3.75,12,3.476881
-20,-3.75,12.5,4.347456
-20,-3.75,13,4.833029
-20,-3.75,13.5,4.16389
-20,-3.75,14,3.835786
-20,-3.75,14.5,5.515136
-20,-3.75,15,5.613036
-20,-3.5,5,2.290159
-20,-3.5,5.5,2.425718
-20,-3.5,6,2.717861
-20,-3.5,6.5,2.764086
-20,-3.5,7,3.749047
-20,-3.5,7.5,3.213801
-20,-3.5,8,3.152503
-20,-3.5,8.5,2.797184
